t,S,L,I,R,D,incI,incR,incFC,incFI,incC,incDC,incD,incDD,incSDB,incTC,incETU,incH,incCT,incCC,cumT,cumTP,cumV,capV,cumVG,capVG,nBeds,Extinct,Detected,rmsRad,maxRad
43,797929.000000,24,21,5,8,2,0,0,0,1,1,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0.278411,0.511516
44,797928.000000,23,21,6,9,1,1,0,0,1,4,2,0,0,0,0,1,72,0,0,0,0,1000,0,2000,0,0,1,0.279759,0.511516
45,797926.000000,22,23,6,10,2,0,0,2,3,2,1,0,0,0,0,0,26,1,0,0,0,1000,0,2000,0,0,1,0.282315,0.511516
46,797925.000000,20,26,6,10,1,0,0,0,3,1,2,0,0,0,0,1,6,1,0,0,0,2000,0,4000,0,0,1,0.28355,0.511516
47,797924.000000,20,25,6,12,1,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,2000,0,4000,24,0,1,0.284724,0.511516
48,797924.000000,17,26,7,13,0,1,0,0,2,1,1,0,0,0,1,0,46,0,0,0,0,2000,0,4000,24,0,1,0.284724,0.511516
49,797921.000000,19,26,8,13,3,1,0,0,2,1,1,1,0,0,1,0,25,0,0,0,0,2000,0,4000,24,0,1,0.292337,0.511516
50,797920.000000,19,26,8,14,1,0,0,0,0,1,1,0,0,0,2,0,26,0,0,0,0,2000,0,4000,24,0,1,0.293372,0.511516
51,797919.000000,19,27,8,14,1,0,0,0,2,2,2,2,2,0,3,0,12,1,0,0,0,2000,0,4000,24,0,1,0.294373,0.511516
52,797917.000000,13,32,9,16,2,1,0,0,5,5,2,0,0,0,1,0,97,3,0,0,0,2000,0,4000,24,0,1,0.296132,0.511516
53,797913.000000,15,33,10,16,4,1,0,0,4,3,0,0,0,0,4,0,49,1,0,0,0,2000,0,4000,24,0,1,0.299285,0.511516
54,797912.000000,16,33,10,16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2000,0,4000,24,0,1,0.300022,0.511516
55,797910.000000,15,35,11,16,2,1,0,0,3,2,3,2,2,0,1,0,52,1,0,0,0,2000,0,4000,24,0,1,0.301418,0.511516
56,797908.000000,15,33,12,19,2,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,2000,0,4000,24,0,1,0.302759,0.511516
57,797904.000000,18,34,12,19,4,0,0,0,2,4,0,0,0,0,4,0,62,3,0,0,0,2000,0,4000,24,0,1,0.303433,0.511516
58,797901.000000,21,33,13,19,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3000,0,6000,24,0,1,0.301753,0.511516
59,797900.000000,22,33,13,19,1,0,0,0,0,2,0,0,0,0,0,0,33,0,0,0,0,3000,0,6000,24,0,1,0.302346,0.511516
60,797898.000000,23,34,13,19,2,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,3000,0,6000,24,0,1,0.303515,0.511516
61,797898.000000,22,31,16,20,0,3,0,0,2,3,2,1,1,0,3,0,54,1,0,0,0,3000,0,6000,24,0,1,0.303515,0.511516
62,797898.000000,20,30,18,21,0,2,0,0,1,2,3,2,2,0,1,0,13,1,0,0,0,3000,0,6000,24,0,1,0.303515,0.511516
63,797898.000000,19,28,19,23,0,1,0,0,2,1,3,1,1,0,1,0,5,1,0,0,0,3000,0,6000,24,0,1,0.303515,0.511516
64,797897.000000,18,29,19,24,1,0,0,0,1,1,3,2,2,0,1,0,7,1,0,0,0,3000,0,6000,24,0,1,0.30406,0.511516
65,797896.000000,17,28,20,26,1,1,0,0,3,1,2,0,0,0,1,0,0,1,0,0,0,3000,0,6000,24,0,1,0.304596,0.511516
66,797893.000000,16,30,22,26,3,2,0,0,3,3,1,1,1,0,2,0,5,3,0,0,0,3000,0,6000,24,0,1,0.306128,0.511516
67,797889.000000,15,34,22,27,4,0,0,0,4,3,2,1,1,0,3,0,67,2,0,0,0,3000,0,6000,24,0,1,0.308033,0.511516
68,797888.000000,15,33,23,28,1,1,0,0,3,2,1,0,0,0,2,0,13,2,0,0,0,3000,0,6000,48,0,1,0.307017,0.511516
69,797888.000000,14,33,24,28,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.307017,0.511516
70,797887.000000,13,33,24,30,1,0,0,0,2,2,3,0,0,0,0,0,59,2,0,0,0,3000,0,6000,48,0,1,0.307481,0.511516
71,797887.000000,10,35,24,31,0,0,0,0,3,4,2,1,0,0,2,0,40,3,0,0,0,3000,0,6000,48,0,1,0.307481,0.511516
72,797887.000000,10,31,27,32,0,3,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,3000,0,6000,48,0,1,0.307481,0.511516
73,797887.000000,8,32,27,33,0,0,0,0,2,2,2,1,1,0,1,0,26,2,0,0,0,3000,0,6000,48,0,1,0.307481,0.511516
74,797886.000000,6,34,27,34,1,0,0,0,3,2,3,1,1,0,0,0,10,2,0,0,0,3000,0,6000,48,0,1,0.307934,0.511516
75,797883.000000,8,31,29,36,3,2,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,3000,0,6000,48,0,1,0.30782,0.511516
76,797882.000000,9,30,29,37,1,0,0,0,1,1,1,0,0,0,2,0,5,1,0,0,0,3000,0,6000,48,0,1,0.308242,0.511516
77,797882.000000,9,30,29,37,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,3000,0,6000,48,0,1,0.308242,0.511516
78,797881.000000,9,31,29,37,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,3000,0,6000,48,0,1,0.309069,0.511516
79,797880.000000,10,28,31,38,1,2,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,3000,0,6000,48,0,1,0.309476,0.511516
80,797879.000000,11,26,32,39,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.309871,0.511516
81,797877.000000,13,25,33,39,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,3000,0,6000,48,0,1,0.310657,0.511516
