t,S,L,I,R,D,incI,incR,incFC,incFI,incC,incDC,incD,incDD,incSDB,incTC,incETU,incH,incCT,incCC,cumT,cumTP,cumV,capV,cumVG,capVG,nBeds,Extinct,Detected,rmsRad,maxRad
43,797898.000000,28,46,8,7,2,1,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,1000,0,2000,0,0,1,0.202214,0.396108
44,797898.000000,26,47,8,8,0,0,0,0,3,3,1,0,0,0,0,0,30,2,0,0,0,2000,0,4000,0,0,1,0.202214,0.396108
45,797892.000000,30,49,8,8,6,0,0,3,1,2,2,0,0,0,0,0,45,0,0,0,0,2000,0,4000,0,0,1,0.202712,0.396108
46,797886.000000,29,53,9,10,6,1,0,1,7,1,2,0,0,0,3,0,0,0,0,0,0,2000,0,4000,24,0,1,0.207605,0.396108
47,797882.000000,28,57,10,10,4,1,0,0,7,4,1,1,1,0,2,0,53,3,0,0,0,2000,0,4000,24,0,1,0.210303,0.396108
48,797878.000000,31,57,10,11,4,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,3000,0,6000,24,0,1,0.214077,0.396108
49,797876.000000,31,55,12,13,2,2,0,0,2,4,5,0,0,0,1,0,138,1,0,0,0,3000,0,6000,24,0,1,0.214067,0.396108
50,797875.000000,28,55,13,16,1,1,0,0,3,2,5,1,1,0,2,0,40,1,0,0,0,3000,0,6000,24,0,1,0.215263,0.396108
51,797869.000000,31,55,14,18,6,1,0,0,3,2,5,3,3,0,6,0,5,2,0,0,0,3000,0,6000,24,0,1,0.221805,0.396108
52,797868.000000,26,56,16,21,1,2,0,0,6,7,4,1,1,0,5,0,14,2,0,0,0,3000,0,6000,24,0,1,0.223814,0.396108
53,797868.000000,22,57,18,22,0,2,0,0,4,8,4,2,2,0,3,0,26,5,0,0,0,3000,0,6000,24,0,1,0.223814,0.396108
54,797868.000000,21,52,21,25,0,3,0,0,2,1,4,1,1,0,4,0,40,0,0,0,0,4000,0,8000,24,0,1,0.223814,0.396108
55,797868.000000,16,55,22,26,0,1,0,0,4,4,2,1,1,0,1,0,112,2,0,0,0,4000,0,8000,24,0,1,0.223814,0.396108
56,797867.000000,15,52,26,27,1,4,0,0,2,4,1,0,0,0,2,0,4,3,0,0,0,4000,0,8000,24,0,1,0.225196,0.396108
57,797864.000000,16,51,29,27,3,3,0,0,3,1,0,0,0,0,1,1,68,0,0,0,0,4000,0,8000,24,0,1,0.229903,0.396108
58,797863.000000,15,53,29,27,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4000,0,8000,24,0,1,0.23116,0.396108
59,797863.000000,14,53,30,27,0,1,0,0,2,3,2,2,2,0,1,0,31,2,0,0,0,4000,0,8000,24,0,1,0.23116,0.396108
60,797862.000000,14,51,31,29,1,1,0,0,0,1,2,0,0,0,3,0,19,0,0,0,0,4000,0,8000,48,0,1,0.23196,0.396108
61,797860.000000,14,51,33,29,2,2,0,0,3,2,3,3,3,0,1,0,46,1,0,0,0,4000,0,8000,48,0,1,0.234633,0.396108
62,797860.000000,14,46,35,32,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.234633,0.396108
63,797860.000000,13,45,37,32,0,2,0,0,1,1,2,2,2,0,2,0,0,0,0,0,0,4000,0,8000,48,0,1,0.234633,0.396108
64,797859.000000,14,42,38,34,1,1,0,0,0,1,4,2,2,0,0,0,8,0,0,0,0,4000,0,8000,48,0,1,0.235726,0.396108
65,797858.000000,12,41,40,36,1,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.236624,0.396108
66,797857.000000,13,40,40,37,1,0,0,0,1,1,4,3,3,0,3,0,21,1,0,0,0,4000,0,8000,48,0,1,0.237741,0.396108
67,797857.000000,11,37,42,40,0,2,0,0,1,2,4,1,1,0,0,0,4,0,0,0,0,4000,0,8000,48,0,1,0.237741,0.396108
68,797857.000000,10,36,43,41,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.237741,0.396108
69,797857.000000,9,35,45,41,0,2,0,0,1,1,0,0,0,0,0,0,8,1,0,0,0,4000,0,8000,48,0,1,0.237741,0.396108
70,797855.000000,10,35,46,41,2,1,0,0,1,0,2,2,2,0,3,0,0,0,0,0,0,4000,0,8000,48,0,1,0.237539,0.396108
71,797854.000000,10,34,46,43,1,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,0,4000,0,8000,48,0,1,0.238557,0.396108
72,797851.000000,12,32,48,44,3,2,0,0,0,0,5,3,3,0,1,0,0,0,0,0,0,4000,0,8000,48,0,1,0.241452,0.396108
73,797850.000000,11,30,48,48,1,0,0,0,2,2,4,0,0,0,1,0,40,1,0,0,0,4000,0,8000,48,0,1,0.242236,0.396108
74,797849.000000,12,26,52,48,1,4,0,0,1,2,0,0,0,0,1,0,26,1,0,0,0,4000,0,8000,48,0,1,0.24369,0.396108
75,797847.000000,13,25,54,48,2,2,0,0,1,1,0,0,0,0,1,0,4,1,0,0,0,4000,0,8000,48,0,1,0.244245,0.396108
76,797846.000000,13,25,55,48,1,1,0,0,1,1,2,2,2,0,1,0,0,1,0,0,0,4000,0,8000,48,0,1,0.245639,0.396108
77,797846.000000,11,23,57,50,0,2,0,0,1,2,2,0,0,0,1,0,15,2,0,0,0,4000,0,8000,48,0,1,0.245639,0.396108
